,avg_score,avg_length,all_time_high_score,num_timesteps
0,0.0,2.0,0,2
1,0.0,4.0,0,8
2,0.0,3.0,0,9
3,0.0,3.0,0,12
4,0.0,4.4,0,22
5,0.0,3.8333333333333335,0,23
6,0.0,3.857142857142857,0,27
7,0.0,5.125,0,41
8,0.0,5.333333333333333,0,48
9,0.0,4.9,0,49
10,0.0,4.545454545454546,0,50
11,0.0,4.416666666666667,0,53
12,0.0,4.3076923076923075,0,56
13,0.0,4.285714285714286,0,60
14,0.0,4.733333333333333,0,71
15,0.0,4.6875,0,75
16,0.0,5.470588235294118,0,93
17,0.0,5.222222222222222,0,94
18,0.0,5.105263157894737,0,97
19,0.0,4.9,0,98
20,0.0,4.761904761904762,0,100
21,0.045454545454545456,5.090909090909091,1,112
22,0.043478260869565216,5.086956521739131,1,117
23,0.041666666666666664,5.125,1,123
24,0.04,5.0,1,125
25,0.07692307692307693,4.923076923076923,1,128
26,0.07407407407407407,4.925925925925926,1,133
27,0.07142857142857142,5.035714285714286,1,141
28,0.06896551724137931,4.896551724137931,1,142
29,0.1,5.233333333333333,1,157
30,0.0967741935483871,5.741935483870968,1,178
31,0.09375,5.59375,1,179
32,0.09090909090909091,5.606060606060606,1,185
33,0.08823529411764706,5.5,1,187
34,0.08571428571428572,5.485714285714286,1,192
35,0.08333333333333333,5.361111111111111,1,193
36,0.08108108108108109,5.297297297297297,1,196
37,0.07894736842105263,5.184210526315789,1,197
38,0.10256410256410256,5.717948717948718,1,223
39,0.1,5.85,1,234
40,0.0975609756097561,5.878048780487805,1,241
41,0.09523809523809523,5.833333333333333,1,245
42,0.09302325581395349,5.930232558139535,1,255
43,0.09090909090909091,5.886363636363637,1,259
44,0.13333333333333333,6.088888888888889,2,274
45,0.13043478260869565,6.086956521739131,2,280
46,0.1276595744680851,5.9787234042553195,2,281
47,0.125,5.895833333333333,2,283
48,0.14285714285714285,5.959183673469388,2,292
49,0.14,6.04,2,302
50,0.13725490196078433,6.019607843137255,2,307
51,0.1346153846153846,6.384615384615385,2,332
52,0.1320754716981132,6.339622641509434,2,336
53,0.12962962962962962,6.462962962962963,2,349
54,0.12727272727272726,6.581818181818182,2,362
55,0.125,6.5,2,364
56,0.12280701754385964,6.43859649122807,2,367
57,0.1206896551724138,6.344827586206897,2,368
58,0.11864406779661017,6.322033898305085,2,373
59,0.11666666666666667,6.25,2,375
60,0.11475409836065574,6.295081967213115,2,384
61,0.11290322580645161,6.225806451612903,2,386
62,0.1111111111111111,6.142857142857143,2,387
63,0.109375,6.0625,2,388
64,0.1076923076923077,6.076923076923077,2,395
65,0.10606060606060606,6.0,2,396
66,0.1044776119402985,5.925373134328358,2,397
67,0.10294117647058823,5.911764705882353,2,402
68,0.10144927536231885,6.101449275362318,2,421
69,0.1,6.071428571428571,2,425
70,0.09859154929577464,6.042253521126761,2,429
71,0.09722222222222222,5.972222222222222,2,430
