avg_score,avg_length,all_time_high_score,num_timesteps
0.0,15.0,0,15
0.0,8.0,0,16
0.0,7.0,0,21
0.25,7.25,1,29
0.2,6.4,1,32
0.16666666666666666,6.0,1,36
0.14285714285714285,6.0,1,42
0.125,5.75,1,46
0.1111111111111111,6.777777777777778,1,61
0.1,6.3,1,63
0.09090909090909091,6.0,1,66
0.08333333333333333,5.583333333333333,1,67
0.07692307692307693,5.230769230769231,1,68
0.07142857142857142,5.642857142857143,1,79
0.13333333333333333,5.866666666666666,1,88
0.125,5.5625,1,89
0.11764705882352941,5.294117647058823,1,90
0.1111111111111111,5.111111111111111,1,92
0.10526315789473684,4.894736842105263,1,93
0.1,5.45,1,109
0.09523809523809523,5.333333333333333,1,112
0.09090909090909091,5.136363636363637,1,113
0.08695652173913043,4.956521739130435,1,114
0.08333333333333333,4.958333333333333,1,119
0.08,4.8,1,120
0.07692307692307693,4.8076923076923075,1,125
0.07407407407407407,4.7407407407407405,1,128
0.07142857142857142,4.642857142857143,1,130
0.06896551724137931,4.517241379310345,1,131
0.06666666666666667,4.766666666666667,1,143
0.06451612903225806,4.806451612903226,1,149
0.0625,5.4375,1,174
0.06060606060606061,5.757575757575758,1,190
0.058823529411764705,5.9411764705882355,1,202
0.05714285714285714,5.9714285714285715,1,209
0.05555555555555555,5.888888888888889,1,212
0.05405405405405406,5.945945945945946,1,220
0.05263157894736842,5.815789473684211,1,221
0.05128205128205128,6.256410256410256,1,244
0.075,6.35,1,254
0.07317073170731707,6.219512195121951,1,255
0.07142857142857142,6.190476190476191,1,260
0.06976744186046512,6.069767441860465,1,261
0.09090909090909091,5.9772727272727275,1,263
0.08888888888888889,6.2,1,279
0.08695652173913043,6.217391304347826,1,286
0.0851063829787234,6.1063829787234045,1,287
0.08333333333333333,6.166666666666667,1,296
0.08163265306122448,6.183673469387755,1,303
0.08,6.3,1,315
0.0784313725490196,6.392156862745098,1,326
0.07692307692307693,6.346153846153846,1,330
0.07547169811320754,6.283018867924528,1,333
0.07407407407407407,6.333333333333333,1,342
0.07272727272727272,6.236363636363636,1,343
0.07142857142857142,6.142857142857143,1,344
0.07017543859649122,6.052631578947368,1,345
0.06896551724137931,6.0344827586206895,1,350
0.06779661016949153,5.966101694915254,1,352
0.06666666666666667,5.9,1,354
0.06557377049180328,5.836065573770492,1,356
0.06451612903225806,5.870967741935484,1,364
0.06349206349206349,5.888888888888889,1,371
0.0625,5.953125,1,381
0.06153846153846154,5.876923076923077,1,382
0.06060606060606061,5.803030303030303,1,383
0.05970149253731343,5.731343283582089,1,384
0.058823529411764705,5.735294117647059,1,390
0.057971014492753624,5.7101449275362315,1,394
0.05714285714285714,5.742857142857143,1,402
0.056338028169014086,5.816901408450704,1,413
0.05555555555555555,5.805555555555555,1,418
0.0547945205479452,5.890410958904109,1,430
0.05405405405405406,5.837837837837838,1,432
0.05333333333333334,5.773333333333333,1,433
0.05263157894736842,5.802631578947368,1,441
0.05194805194805195,5.753246753246753,1,443
0.05128205128205128,5.6923076923076925,1,444
0.05063291139240506,5.632911392405063,1,445
0.05,5.575,1,446
0.04938271604938271,5.518518518518518,1,447
0.04878048780487805,5.536585365853658,1,454
0.04819277108433735,5.554216867469879,1,461
0.047619047619047616,5.5,1,462
0.047058823529411764,5.552941176470588,1,472
0.046511627906976744,5.5,1,473
0.04597701149425287,5.448275862068965,1,474
0.045454545454545456,5.409090909090909,1,476
0.0449438202247191,5.359550561797753,1,477
0.044444444444444446,5.311111111111111,1,478
0.04395604395604396,5.2967032967032965,1,482
0.043478260869565216,5.260869565217392,1,484
0.043010752688172046,5.21505376344086,1,485
0.0425531914893617,5.170212765957447,1,486
0.042105263157894736,5.136842105263158,1,488
0.041666666666666664,5.09375,1,489
0.041237113402061855,5.051546391752577,1,490
0.04081632653061224,5.061224489795919,1,496
0.04040404040404041,5.040404040404041,1,499
0.04,5.0,1,500
0.04,4.86,1,501
0.04,4.95,1,511
0.04,4.91,1,512
0.03,4.89,1,518
0.03,4.93,1,525
0.03,4.9,1,526
0.03,4.9,1,532
0.03,4.93,1,539
0.03,4.92,1,553
0.03,5.01,1,564
0.03,4.99,1,565
0.03,5.16,1,583
0.04,5.33,1,601
0.04,5.25,1,604
0.03,5.3,1,618
0.03,5.3,1,619
0.03,5.41,1,631
0.03,5.41,1,633
0.03,5.85,1,678
0.03,5.84,1,693
0.03,5.83,1,695
0.03,5.94,1,707
0.03,5.95,1,709
0.03,5.92,1,711
0.04,5.99,1,719
0.04,5.95,1,720
0.04,5.93,1,721
0.04,5.93,1,723
0.04,5.94,1,725
0.04,5.93,1,736
0.04,6.01,1,750
0.04,5.84,1,758
0.04,5.69,1,759
0.04,5.58,1,760
0.04,5.52,1,761
0.04,5.69,1,781
0.04,5.68,1,788
0.04,5.7,1,791
0.04,5.5,1,794
0.03,5.42,1,796
0.03,5.49,1,804
0.03,5.47,1,807
0.03,5.49,1,810
0.02,5.52,1,815
0.02,5.37,1,816
0.02,5.31,1,817
0.02,5.36,1,823
0.02,5.29,1,825
0.02,5.23,1,826
0.03,5.22,1,837
0.03,5.18,1,844
0.03,5.3,1,860
0.03,5.3,1,863
0.03,5.38,1,880
0.03,5.39,1,882
0.03,5.39,1,883
0.03,5.5,1,895
0.03,5.46,1,896
0.03,5.87,1,939
0.03,5.89,1,943
0.03,5.9,1,946
0.03,5.99,1,963
0.03,5.94,1,965
0.03,5.87,1,968
0.03,5.88,1,970
0.03,5.88,1,971
0.03,5.88,1,972
0.03,5.83,1,973
