,avg_score,avg_length,all_time_high_score,num_timesteps
0,0.0,25.0,0,25
1,0.0,21.0,0,42
2,0.0,19.333333333333332,0,58
3,0.0,17.0,0,68
4,0.0,15.8,0,79
5,0.0,18.166666666666668,0,109
6,0.0,16.142857142857142,0,113
7,0.0,14.875,0,119
8,0.0,15.11111111111111,0,136
9,0.0,15.2,0,152
10,0.0,14.818181818181818,0,163
11,0.0,14.833333333333334,0,178
12,0.0,15.307692307692308,0,199
13,0.07142857142857142,16.142857142857142,1,226
14,0.06666666666666667,16.133333333333333,1,242
15,0.0625,16.0,1,256
16,0.11764705882352941,17.294117647058822,1,294
17,0.16666666666666666,18.22222222222222,1,328
18,0.15789473684210525,19.63157894736842,1,373
19,0.15,19.4,1,388
20,0.14285714285714285,20.047619047619047,1,421
21,0.13636363636363635,19.318181818181817,1,425
22,0.13043478260869565,19.82608695652174,1,456
23,0.125,19.375,1,465
24,0.16,19.64,1,491
25,0.19230769230769232,20.0,1,520
26,0.18518518518518517,20.48148148148148,1,553
27,0.17857142857142858,20.285714285714285,1,568
28,0.1724137931034483,19.82758620689655,1,575
29,0.16666666666666666,19.6,1,588
30,0.16129032258064516,19.516129032258064,1,605
31,0.15625,20.5625,1,658
32,0.15151515151515152,20.636363636363637,1,681
33,0.17647058823529413,21.029411764705884,1,715
34,0.17142857142857143,20.914285714285715,1,732
35,0.16666666666666666,20.63888888888889,1,743
36,0.16216216216216217,20.756756756756758,1,768
37,0.15789473684210525,20.81578947368421,1,791
38,0.15384615384615385,20.487179487179485,1,799
39,0.15,20.425,1,817
40,0.17073170731707318,20.365853658536587,1,835
41,0.16666666666666666,20.238095238095237,1,850
42,0.16279069767441862,20.023255813953487,1,861
43,0.18181818181818182,20.795454545454547,1,915
44,0.17777777777777778,20.555555555555557,1,925
45,0.17391304347826086,20.434782608695652,1,940
46,0.1702127659574468,20.340425531914892,1,956
47,0.16666666666666666,20.458333333333332,1,982
48,0.16326530612244897,21.591836734693878,1,1058
49,0.16,21.54,1,1077
50,0.1568627450980392,21.627450980392158,1,1103
51,0.17307692307692307,22.0,1,1144
52,0.16981132075471697,21.79245283018868,1,1155
53,0.2037037037037037,22.59259259259259,2,1220
54,0.2,22.29090909090909,2,1226
55,0.19642857142857142,22.160714285714285,2,1241
56,0.19298245614035087,23.05263157894737,2,1314
57,0.1896551724137931,23.03448275862069,2,1336
58,0.2033898305084746,23.033898305084747,2,1359
59,0.2,22.8,2,1368
60,0.19672131147540983,22.491803278688526,2,1372
61,0.20967741935483872,23.322580645161292,2,1446
62,0.20634920634920634,24.158730158730158,2,1522
63,0.203125,24.265625,2,1553
64,0.2,24.246153846153845,2,1576
65,0.19696969696969696,24.060606060606062,2,1588
66,0.19402985074626866,23.91044776119403,2,1602
67,0.19117647058823528,23.720588235294116,2,1613
68,0.18840579710144928,23.666666666666668,2,1633
69,0.18571428571428572,23.65714285714286,2,1656
70,0.19718309859154928,24.070422535211268,2,1709
71,0.19444444444444445,24.041666666666668,2,1731
72,0.1917808219178082,23.945205479452056,2,1748
73,0.1891891891891892,23.72972972972973,2,1756
74,0.18666666666666668,23.72,2,1779
75,0.18421052631578946,23.61842105263158,2,1795
76,0.18181818181818182,24.025974025974026,2,1850
77,0.1794871794871795,23.987179487179485,2,1871
78,0.17721518987341772,23.79746835443038,2,1880
79,0.175,23.8375,2,1907
80,0.18518518518518517,23.901234567901234,2,1936
81,0.1951219512195122,23.963414634146343,2,1965
82,0.20481927710843373,24.289156626506024,2,2016
83,0.20238095238095238,24.345238095238095,2,2045
84,0.2,24.44705882352941,2,2078
85,0.19767441860465115,24.46511627906977,2,2104
86,0.19540229885057472,24.28735632183908,2,2113
87,0.19318181818181818,24.306818181818183,2,2139
88,0.19101123595505617,24.089887640449437,2,2144
89,0.18888888888888888,24.57777777777778,2,2212
90,0.18681318681318682,24.395604395604394,2,2220
91,0.18478260869565216,24.217391304347824,2,2228
92,0.1827956989247312,24.043010752688172,2,2236
93,0.19148936170212766,23.9468085106383,2,2251
94,0.18947368421052632,23.873684210526317,2,2268
95,0.19791666666666666,23.739583333333332,2,2279
96,0.20618556701030927,24.412371134020617,2,2368
97,0.21428571428571427,24.622448979591837,2,2413
98,0.2222222222222222,24.525252525252526,2,2428
99,0.22,24.36,2,2436
100,0.22,24.49,2,2474
